"Open Houses","Photo","MLS","AR","Type","S","Address","City","BR","Baths(FTHQ)","SqFt","LP $/SqFt","LP","SP","HOD","Lot Sz","YB","DOM","# of Units","Change Date"
"","14","TR24029479MR","1543","INC","S","1150  W Stoneridge CT ","ONTARIO","9","5.00 (0 0 0 0)","2,503","$345.59","$865,000","$865,000","","10,620","1955","43","3","05/06/2024"
"","11","RS23169038MR","1543","INC","S","514  W Ralston ST ","ONTARIO","4","4.00 (0 0 0 0)","1,920","$390.57","$749,900","$745,000","$0.00","7,700","1920","32","2","05/08/2024"
"","33","CV24025341MR","1543","INC","S","200  E Phillips ST ","ONTARIO","8","5.00 (0 0 0 0)","2,848","$526.69","$1,500,000","$1,430,000","","9,000","1950","61","4","05/15/2024"
"","23","IV23157716MR","469","INC","S","480  W Center ST ","POMONA","2","3.00 (0 0 0 0)","1,967","$345.70","$680,000","$656,500","$0.00","6,868","1889","216","3","05/16/2024"
"","3","OC24050219MR","1795","INC","S","822  E 9th ST ","UPLAND","2","2.00 (0 0 0 0)","1,028","$582.68","$599,000","$650,000","","7,200","1906","10","1","05/17/2024"
"","6","AR24077693MR","1455","INC","S","10391   Pradera AVE ","MONTCLAIR","8","8.00 (0 0 0 0)","3,552","$281.25","$999,000","$1,010,000","","9,238","1962","8","4","05/17/2024"
"","31","DW24055992MR","1543","INC","S","408  W Francis ST ","ONTARIO","4","2.00 (0 0 0 0)","1,400","$549.29","$769,000","$775,000","","9,190","1947","27","2","05/22/2024"
"","18","AR24022876MR","487","INC","S","631   Harvard  ","CLAREMONT","9","6.00 (0 0 0 0)","4,286","$443.07","$1,899,000","$1,850,000","$0.00","7,702","1964","91","3","05/28/2024"
"","9","IV24042027MR","1627","INC","S","7411   Napa CT ","RANCHO CUCAMONGA","9","7.00 (0 0 0 0)","3,746","$373.73","$1,400,000","$1,250,000","$614.00","8,500","1976","58","4","05/29/2024"
"","3","WS24011711MR","469","INC","S","651   Loranne AVE ","POMONA","4","2.00 (0 0 0 0)","1,706","$395.66","$675,000","$700,000","","6,223","1956","51","2","06/01/2024"
"","","COMP24135819","487","INC","S","631   HARVARD AVE ","CLAREMONT","6","6.00 (6 0 0 0)","4,286","$431.64","$1,850,000","$1,850,000","","7,702","1964","0","3","06/04/2024"
"","27","CV24097482MR","469","INC","S","411   San Francisco AVE ","POMONA","4","2.00 (0 0 0 0)","1,040","$572.12","$595,000","$607,000","$0.00","5,941","1924","16","2","06/05/2024"
"","22","OC23124376MR","1543","INC","S","622  N Vine 622-630 AVE ","ONTARIO","7","5.00 (0 0 0 0)","3,792","$356.01","$1,350,000","$1,185,000","","5,184","1953","277","5","06/12/2024"
"","23","IV24044829MR","1543","INC","S","820  E D ST #ABC","ONTARIO","2","2.00 (0 0 0 0)","940","$558.51","$525,000","$517,000","","6,300","1953","18","2","06/14/2024"
"","4","CV24058874MR","1543","INC","S","1571  E Olive ST ","ONTARIO","5","3.00 (0 0 0 0)","1,994","$371.11","$739,999","$740,000","$0.00","7,314","1954","35","2","06/14/2024"
"","22","CV24026099MR","487","INC","S","653   Marylind AVE ","CLAREMONT","2","2.00 (2 0 0 0)","1,760","$596.59","$1,050,000","$1,052,000","$0.00","8,651","1928","25","","06/24/2024"
"","26","CV24041712MR","1795","INC","S","259  S Campus AVE ","UPLAND","3","3.00 (0 0 0 0)","1,226","$554.65","$679,999","$685,000","$0.00","7,809","1948","79","2","06/29/2024"
"","16","WS24076781MR","469","INC","S","112  E Kingsley AVE ","POMONA","2","1.00 (0 0 0 0)","648","$655.86","$425,000","$450,000","$0.00","3,524","1930","16","1","07/01/2024"
"","35","CV24109199MR","1543","INC","S","213  E Park ST ","ONTARIO","1","1.00 (0 0 0 0)","1,170","$477.78","$559,000","$595,000","$0.00","3,600","1949","4","2","07/03/2024"
"","38","CV24077651MR","469","INC","S","619   Saint Paul ST ","POMONA","5","5.00 (0 0 0 0)","2,297","$376.58","$865,000","$865,000","","6,754","1947","2","2","07/03/2024"
"","1","CV24115050MR","1543","INC","S","412  W Sunkist ST ","ONTARIO","8","4.00 (0 0 0 0)","4,604","$195.48","$900,000","$891,000","","7,500","1952","0","4","07/07/2024"
"","1","TR24084111MR","487","INC","S","235   Olive ST ","CLAREMONT","6","2.00 (0 0 0 0)","2,126","$465.19","$989,000","$979,000","$0.00","8,786","1945","29","2","07/18/2024"
"","17","IV24111246MR","1455","INC","S","4851   Kingsley ST #2","MONTCLAIR","4","2.00 (0 0 0 0)","1,680","$446.40","$749,950","$750,000","$0.00","7,200","1958","6","2","07/25/2024"
"","1","WS24096480MR","1543","INC","S","1156  W Stoneridge CT ","ONTARIO","4","0.00 (0 0 0 0)","3,700","$228.38","$845,000","$852,000","","10,440","1960","8","4","07/29/2024"
"","5","TR24080769MR","1455","INC","S","9405   Pradera AVE ","MONTCLAIR","8","4.00 (0 0 0 0)","3,592","$300.67","$1,080,000","$1,110,000","$0.00","7,200","1962","3","4","07/31/2024"
"","8","PW24069755MR","1795","INC","S","774  N 1st AVE ","UPLAND","5","4.00 (0 0 0 0)","2,387","$492.25","$1,175,000","$1,000,000","","7,000","1895","34","3","08/06/2024"
"","16","WS24135110MR","1543","INC","S","1044  N Sacramento AVE ","ONTARIO","8","12.00 (0 0 0 0)","4,800","$260.42","$1,250,000","$1,260,000","$0.00","7,475","1964","14","4","08/09/2024"
"","14","WS24135114MR","1543","INC","S","1038  N Sacramento AVE ","ONTARIO","8","12.00 (0 0 0 0)","4,800","$260.42","$1,250,000","$1,260,000","$0.00","7,579","1964","14","4","08/09/2024"
"","1","IV24111864MR","469","INC","S","757  W CENTER ST ","POMONA","3","0.00 (0 0 0 0)","2,007","$331.34","$665,000","$570,000","$0.00","6,146","1918","19","3","08/09/2024"
"","8","WS24134186MR","1543","INC","S","339  N Beverly CT ","ONTARIO","8","4.00 (0 0 0 0)","3,200","$374.84","$1,199,500","$1,300,000","","8,190","1953","5","4","08/12/2024"
"","","COMP24137454","469","INC","S","150  E LA VERNE AVE ","POMONA","28","32.00 (32 0 0 0)","20,822","$192.42","$4,006,500","$4,006,500","","27,754","1963","0","18","08/13/2024"
"","18","FR24142085MR","1543","INC","S","416  N Cherry AVE ","ONTARIO","6","3.00 (0 0 0 0)","2,775","$358.56","$995,000","$970,000","","10,620","1906","5","3","08/16/2024"
"","38","CV24084157MR","1795","INC","S","2480   Forman ST ","UPLAND","7","4.00 (0 0 0 0)","3,323","$359.61","$1,195,000","$1,100,000","$0.00","15,675","1959","6","3","08/20/2024"
"","1","CV24070831MR","469","INC","S","2406   Angela ST ","POMONA","8","7.00 (0 0 0 0)","3,828","$252.87","$968,000","$965,000","$0.00","7,247","1964","107","4","08/28/2024"
"","35","IG24158548MR","469","INC","S","389  E 9th ST ","POMONA","7","4.00 (0 0 0 0)","2,632","$322.95","$849,999","$855,000","","7,686","1910","7","3","08/30/2024"
"","34","DW24071702MR","469","INC","S","1883  S Reservoir ST ","POMONA","3","2.00 (0 0 0 0)","1,357","$460.57","$625,000","$580,000","","8,104","1960","7","2","09/03/2024"
"","1","MB24068943MR","1543","INC","S","1210  S Bon View AVE ","ONTARIO","4","2.00 (0 0 0 0)","1,052","$664.45","$699,000","$699,000","","9,380","1961","123","2","09/03/2024"
"","3","SW24175507MR","1543","INC","S","1749  E Fairfield CT ","ONTARIO","9","8.00 (0 0 0 0)","4,269","$213.16","$910,000","$985,000","$0.00","8,150","1980","1","4","09/06/2024"
"","33","DW24111105MR","1543","INC","S","853  W Vesta ST ","ONTARIO","5","2.00 (0 0 0 0)","1,334","$637.18","$849,999","$800,000","","7,080","1950","47","2","09/10/2024"
"","13","24-430667","469","INC","S","795  W 12th St ","Pomona","3","2.00 (0 0 0 0)","1,133","$458.96","$520,000","$525,000","","6,238","1940","6","2","09/13/2024"
"","28","CV24139722MR","469","INC","S","274  W Phillips BLVD ","POMONA","4","2.00 (2 0 0 0)","1,585","$441.01","$699,000","$705,000","$0.00","8,238","1952","15","2","09/16/2024"
"","","COMP24138316","469","INC","S","1140  S WHITE AVE ","POMONA","6","4.00 (4 0 0 0)","2,562","$257.61","$660,000","$660,000","","7,203","1990","0","2","09/17/2024"
"","16","TR24160579MR","1627","INC","S","11237   Terra Vista PKWY #F","RANCHO CUCAMONGA","2","2.00 (2 0 0 0)","829","$541.62","$449,000","$445,000","$345.00","3,572","1994","5","","10/05/2024"
"","11","CV24170642MR","1543","INC","S","215  E Belmont ST ","ONTARIO","2","1.00 (0 0 0 0)","2,520","$287.98","$725,700","$745,000","","8,560","1962","24","3","10/17/2024"
"","67","CV24159028MR","469","INC","S","607  N Gibbs ST ","POMONA","6","2.00 (0 0 0 0)","1,952","$434.88","$848,888","$877,500","$0.00","5,208","1907","37","2","10/17/2024"
"","4","IG24011084MR","469","INC","S","10931   Kadota AVE ","POMONA","6","4.00 (0 0 0 0)","2,476","$342.89","$849,000","$846,632","","11,000","1954","50","4","10/19/2024"
"","71","CV24126728MR","1543","INC","S","203  E Park ST ","ONTARIO","6","5.00 (0 0 0 0)","3,027","$330.00","$998,900","$1,020,000","$0.00","10,800","1946","99","3","10/21/2024"
"","1","DW24119803MR","469","INC","S","1459  S White AVE ","POMONA","5","2.00 (0 0 0 0)","1,496","$451.20","$675,000","$712,500","$0.00","12,697","1944","13","2","10/23/2024"
"","31","TR24104625MR","1795","INC","S","621   Richland ST ","UPLAND","8","8.00 (0 0 0 0)","3,200","$500","$1,600,000","$1,600,000","","8,174","1983","137","4","10/25/2024"
"","48","CV24154515MR","1795","INC","S","460  N 3rd AVE ","UPLAND","4","3.00 (0 0 0 0)","1,988","$397.38","$790,000","$720,000","$0.00","8,256","1909","89","2","10/26/2024"
"","7","IV24159908MR","1795","INC","S","731   Vernon Drive ","UPLAND","2","4.00 (0 0 0 0)","1,714","$529.17","$907,000","$900,000","$0.00","6,600","1953","35","4","10/29/2024"
"","8","CV24149869MR","1543","INC","S","738  W Ralston ST ","ONTARIO","7","3.00 (0 0 0 0)","2,292","$335.51","$769,000","$800,000","$0.00","9,358","1961","9","3","11/01/2024"
"","10","CV24176809MR","1795","INC","S","170   Linda WAY ","UPLAND","2","1.00 (0 0 0 0)","4,422","$270.24","$1,195,000","$1,185,000","","8,760","1970","0","5","11/04/2024"
"","","COMP24139275","469","INC","S","301  E FRANKLIN AVE ","POMONA","3","2.00 (2 0 0 0)","1,360","$459.56","$625,000","$625,000","","16,415","1919","0","2","11/05/2024"
"","18","CV24169689MR","1543","INC","S","813  N Campus AVE ","ONTARIO","2","2.00 (2 0 0 0)","1,452","$457.99","$665,000","$680,000","$0.00","4,600","1956","34","","11/08/2024"
"","8","PW24177039MR","469","INC","S","935  W 3rd ST ","POMONA","4","5.00 (0 0 0 0)","4,368","$228.93","$999,988","$975,000","$0.00","13,650","1951","50","5","11/10/2024"
"","","COMP24139743","469","INC","S","217  E 7TH ST ","POMONA","8","8.00 (8 0 0 0)","5,376","$275.30","$1,480,000","$1,480,000","","15,584","1925","0","8","11/12/2024"
"","25","CV24160856MR","1795","INC","S","536  N 1st AVE ","UPLAND","4","0.00 (0 0 0 0)","2,600","$384.62","$1,000,000","$910,000","$0.00","7,000","1945","57","4","11/12/2024"
"","8","PW24157773MR","469","INC","S","912  W 3rd ST ","POMONA","4","4.00 (0 0 0 0)","1,950","$423.08","$824,999","$600,000","$0.00","6,786","1929","66","4","11/22/2024"
"","9","CV24162428MR","1795","INC","S","715723   Vernon DR ","UPLAND","2","4.00 (0 0 0 0)","1,863","$504.03","$939,000","$925,000","","6,600","1948","39","4","11/24/2024"
"","42","DW24201027MR","469","INC","S","725  N Gordon ST ","POMONA","5","4.00 (0 0 0 0)","2,764","$215.27","$595,000","$560,000","","11,743","1897","40","2","11/27/2024"
"","1","SB24142846MR","1543","INC","S","1701  E Fairfield CT ","ONTARIO","9","8.00 (0 0 0 0)","4,269","$351.37","$1,500,000","$1,420,000","$0.00","14,177","1980","48","4","12/05/2024"
"","1","SB24143081MR","1543","INC","S","1701  E Fairfield CT ","ONTARIO","9","8.00 (4 1 3 0)","4,269","$351.37","$1,500,000","$1,420,000","$0.00","14,177","1980","48","","12/05/2024"
"","66","CV24186701MR","1795","INC","S","971   5th AVE ","UPLAND","3","2.00 (0 0 0 0)","1,811","$438.98","$795,000","$720,000","$0.00","7,397","1928","51","3","12/09/2024"
"","14","CV24236049MR","469","INC","S","901 923 N San Antonio AVE ","POMONA","5","4.00 (0 0 0 0)","10,075","$229.28","$2,310,000","$2,175,800","","15,681","1963","1","11","12/13/2024"
"","4","CV24168061MR","469","INC","S","305  E Grand AVE ","POMONA","8","4.00 (0 0 0 0)","4,023","$229.90","$924,888","$1,100,000","$0.00","12,209","1964","0","4","12/13/2024"
"","35","24-463151","469","INC","S","795  W 12th St ","Pomona","3","2.00 (0 0 0 0)","1,133","$616.95","$699,000","$715,000","","6,238","1940","8","2","12/13/2024"
"","11","PW24183431MR","469","INC","S","435  E 11th ST ","POMONA","4","2.00 (0 0 0 0)","1,500","$476.67","$715,000","$700,000","","7,802","1901","78","2","12/17/2024"
"","54","P1-20176PF","487","INC","S","506  N Towne AVE ","CLAREMONT","5","4.00 (0 0 0 0)","6,288","$270.36","$1,700,000","$1,500,000","$0.00","11,900","1964","5","","12/23/2024"
"","43","IV24160756MR","1455","INC","S","5217   Kingsley ST ","MONTCLAIR","4","2.00 (0 0 0 0)","1,728","$448.50","$775,000","$781,000","","7,320","1961","72","2","12/27/2024"
"","38","CV24211611MR","1455","INC","S","10325   Lehigh AVE ","MONTCLAIR","6","5.00 (0 0 0 0)","12,701","$283.44","$3,600,000","$3,550,000","$0.00","16,080","1962","17","13","12/30/2024"
"","8","CV24237138MR","1795","INC","S","540  W Arrow  ","UPLAND","3","2.00 (0 0 0 0)","8,451","$218.91","$1,850,000","$2,100,000","","15,400","1960","19","13","12/30/2024"
"","","COMP25140709","469","INC","S","923  N SAN ANTONIO AVE #A","POMONA","9","7.00 (7 0 0 0)","5,036","$432.09","$2,176,000","$2,176,000","","9,673","1963","0","6","01/02/2025"
"","5","OC24190900MR","1543","INC","S","603  N San Antonio AVE ","ONTARIO","3","2.00 (0 0 0 0)","1,697","$393.64","$668,000","$600,000","","7,425","1946","38","2","01/03/2025"
"","1","CV24208783MR","469","INC","S","330   San Bernardino AVE ","POMONA","2","2.00 (0 0 0 0)","1,352","$443.71","$599,900","$600,000","$0.00","6,962","1938","65","2","01/03/2025"
"","1","WS23111968MR","469","INC","S","648   Abbey Lane ","POMONA","10","5.00 (0 0 0 0)","4,370","$343.25","$1,500,000","$1,440,000","$0.00","7,807","1962","481","5","01/10/2025"
"","30","CV24158508MR","1795","INC","S","799  E 7th ST ","UPLAND","4","2.00 (0 0 0 0)","1,642","$471.99","$775,000","$782,750","$0.00","6,732","1950","67","2","01/17/2025"
"","22","DW24248071MR","469","INC","S","1041  W 3rd ST ","POMONA","3","2.00 (0 0 0 0)","1,148","$522.55","$599,888","$680,000","$0.00","6,785","1913","12","2","01/22/2025"
"","10","CV24209804MR","1543","INC","S","741   Corvette DR ","ONTARIO","10","6.00 (0 0 0 0)","3,989","$393.58","$1,570,000","$1,470,000","","9,956","1987","30","4","01/30/2025"
"","12","IV24193265MR","1543","INC","S","1541  N Hope AVE ","ONTARIO","8","4.00 (0 0 0 0)","3,502","$314.11","$1,100,000","$1,000,000","","9,826","1963","54","4","02/04/2025"
"","46","CV24131326MR","1795","INC","S","845  N 5th AVE ","UPLAND","8","4.00 (4 0 0 0)","2,983","$368.09","$1,098,000","$989,000","$0.00","11,418","1961","148","","02/05/2025"
"","46","CV24146591MR","1795","INC","S","845   5th AVE ","UPLAND","8","4.00 (0 0 0 0)","2,983","$368.09","$1,098,000","$989,000","$0.00","11,418","1961","148","2","02/05/2025"
"","75","CV24230827MR","1543","INC","S","221  N Mountain AVE ","ONTARIO","9","12.00 (0 0 0 0)","38,925","$462.30","$17,995,000","$17,400,000","$0.00","55,321","2024","38","39","02/11/2025"
"","6","IV24194411MR","1543","INC","S","1016  W El Morado CT ","ONTARIO","6","4.00 (0 0 0 0)","2,652","$324.74","$861,200","$852,320","$0.00","8,778","1962","113","3","02/12/2025"
"","3","WS24231364MR","469","INC","S","806  W 4th ST ","POMONA","3","2.00 (2 0 0 0)","1,469","$425.46","$625,000","$610,000","$0.00","7,815","1890","20","","02/13/2025"
